name;wholesale;stampless;wholesaleplus;retail
30Χ30 ΣΕ ΧΑΡΤΙ;6,5;6,5;6,5;10,075
40Χ40 ΣΕ ΧΑΡΤΙ;9,5;9,5;9,5;14,725
50Χ50 ΣΕ ΧΑΡΤΙ;14;14;14;21,7
70Χ70 ΣΕ ΧΑΡΤΙ;18,5;18,5;18,5;28,675
90Χ90 ΣΕ ΧΑΡΤΙ;32;32;32;49,6
100Χ100 ΣΕ ΧΑΡΤΙ;36;36;36;55,8
120Χ120 ΣΕ ΧΑΡΤΙ;46;46;46;71,3
25Χ50 ΣΕ ΧΑΡΤΙ;7,5;7,5;7,5;11,625
35Χ70 ΣΕ ΧΑΡΤΙ;14;14;14;21,7
50Χ100 ΣΕ ΧΑΡΤΙ;18,5;18,5;18,5;28,675
60Χ120 ΣΕ ΧΑΡΤΙ;26,5;26,5;26,5;41,075
70Χ138 ΣΕ ΧΑΡΤΙ;34;34;34;52,7
80Χ160 ΣΕ ΧΑΡΤΙ;45,5;45,5;45,5;70,525
100Χ200 ΣΕ ΧΑΡΤΙ;72;72;72;111,6
30Χ40 ΣΕ ΧΑΡΤΙ;7;7;7;10,85
40Χ60 ΣΕ ΧΑΡΤΙ;12,5;12,5;12,5;19,375
50Χ70 ΣΕ ΧΑΡΤΙ;15;15;15;23,25
60Χ80 ΣΕ ΧΑΡΤΙ;18,5;18,5;18,5;28,675
70Χ100 ΣΕ ΧΑΡΤΙ;26;26;26;40,3
90Χ120 ΣΕ ΧΑΡΤΙ;36,5;36,5;36,5;56,575
100Χ150 ΣΕ ΧΑΡΤΙ;46,5;46,5;46,5;72,075
20Χ60 ΣΕ ΧΑΡΤΙ;7,5;7,5;7,5;11,625
25Χ70 ΣΕ ΧΑΡΤΙ;9,5;9,5;9,5;14,725
33Χ95 ΣΕ ΧΑΡΤΙ;14,5;14,5;14,5;22,475
40Χ120 ΣΕ ΧΑΡΤΙ;18,5;18,5;18,5;28,675
48Χ138 ΣΕ ΧΑΡΤΙ;26;26;26;40,3
50Χ150 ΣΕ ΧΑΡΤΙ;31;31;31;48,05
60Χ180 ΣΕ ΧΑΡΤΙ;37;37;37;57,35
20Χ100 ΣΕ ΧΑΡΤΙ;15;15;15;23,25
30Χ150 ΣΕ ΧΑΡΤΙ;21,5;21,5;21,5;33,325
40Χ200 ΣΕ ΧΑΡΤΙ;37,5;37,5;37,5;58,125
50Χ250 ΣΕ ΧΑΡΤΙ;65,5;65,5;65,5;101,525
60Χ300 ΣΕ ΧΑΡΤΙ;87,5;87,5;87,5;135,625
30Χ30 ΜΟΝΟΤΥΠΙΑ;15;15;15;23,25
40Χ40 ΜΟΝΟΤΥΠΙΑ;22,5;22,5;22,5;34,875
50Χ50 ΜΟΝΟΤΥΠΙΑ;34;34;34;52,7
70Χ70 ΜΟΝΟΤΥΠΙΑ;55;55;55;85,25
90Χ90 ΜΟΝΟΤΥΠΙΑ;79;79;79;122,45
100Χ100 ΜΟΝΟΤΥΠΙΑ;93,5;93,5;93,5;144,925
120Χ120 ΜΟΝΟΤΥΠΙΑ;128;128;128;198,4
135Χ135 ΜΟΝΟΤΥΠΙΑ;175;175;175;271,25
25Χ50 ΜΟΝΟΤΥΠΙΑ;25;25;25;38,75
35Χ70 ΜΟΝΟΤΥΠΙΑ;33,5;33,5;33,5;51,925
50Χ100 ΜΟΝΟΤΥΠΙΑ;56;56;56;86,8
60Χ120 ΜΟΝΟΤΥΠΙΑ;76;76;76;117,8
70Χ138 ΜΟΝΟΤΥΠΙΑ;96,5;96,5;96,5;149,575
80Χ160 ΜΟΝΟΤΥΠΙΑ;118,5;118,5;118,5;183,675
100Χ200 ΜΟΝΟΤΥΠΙΑ;174;174;174;269,7
125Χ250 ΜΟΝΟΤΥΠΙΑ;260;260;260;403
30Χ40 ΜΟΝΟΤΥΠΙΑ;18,5;18,5;18,5;28,675
40Χ60 ΜΟΝΟΤΥΠΙΑ;33,5;33,5;33,5;51,925
50Χ70 ΜΟΝΟΤΥΠΙΑ;45;45;45;69,75
