reference,legend,image_url,quantity
1AA1552,"Frederick Childe Hassam - The South Ledges, Appledore",https://pg-plaisio.gr/img/p/1/5/7/0/7/15707.jpg,0
1AA1968,Joaquin Sorolla Y Bastida - Strolling along the Seashore,https://pg-plaisio.gr/img/p/1/5/7/0/3/15703.jpg,0
1AA2143,"Joaquin Sorolla Y Bastida - Time for a Bathe, Valencia",https://pg-plaisio.gr/img/p/1/5/6/9/9/15699.jpg,0
1AA2186,"Ettore Roesler-Franz - Terrace of Villa d'Este, Tivoli, 1845",https://pg-plaisio.gr/img/p/1/5/6/9/5/15695.jpg,130
1AA2650,Antonio Nicolo Gasparo Jacobsen - Petit Prince I,https://pg-plaisio.gr/img/p/1/5/5/9/0/15590.jpg,0
1AA2651,Antonio Nicolo Gasparo Jacobsen - Petit Prince II,https://pg-plaisio.gr/img/p/1/5/5/8/6/15586.jpg,0
1AA2652,Antonio Nicolo Gasparo Jacobsen - Petit Prince III,https://pg-plaisio.gr/img/p/1/5/5/8/2/15582.jpg,-1
1AA3084,Vittorio Matteo Corcos - Paolina Clelia Silvia Bondi,https://pg-plaisio.gr/img/p/1/5/5/7/8/15578.jpg,0
1AA3657,Andrea Mantegna - Camera degli sposi,https://pg-plaisio.gr/img/p/1/5/5/7/4/15574.jpg,0
1AA4636,"Kasimir Malevich - Untitled, 1916",https://pg-plaisio.gr/img/p/5/0/5/2//5052.jpg,0
1AA5021,"Carstian Luyckx - Still Life with Celestial Globe, a Book, Shells, a Snake and Butterflies",https://pg-plaisio.gr/img/p/1/7/6/9/8/17698.jpg,0
1AA5670,Anonymous - A branch of ripe plums,https://pg-plaisio.gr/img/p/2/3/4/9/9/23499.jpg,0
1AA5865,Bernardino Luini - Madonna of the Carnation,https://pg-plaisio.gr/img/p/2/3/4/9/5/23495.jpg,0
1AA6303,Franz Marc - The Tiger,https://pg-plaisio.gr/img/p/2/3/4/9/1/23491.jpg,0
1AA6307,Ernst Ludwig Kirchner - Women Bathing between White Stones,https://pg-plaisio.gr/img/p/2/3/4/8/7/23487.jpg,0
1AA6333,Georgius Jacobus Johannes van Os - Allegory of Spring (detail),https://pg-plaisio.gr/img/p/2/3/4/8/3/23483.jpg,0
1AA6334,Abraham Mignon - Still Life with Fruit (detail),https://pg-plaisio.gr/img/p/2/3/4/7/9/23479.jpg,-1
1AB4273,Alex Blanco - Gesture of a Tree,https://pg-plaisio.gr/img/p/6/9/0/3//6903.jpg,130
1AB4274,Alex Blanco - Sign of a Tree,https://pg-plaisio.gr/img/p/6/9/0/7//6907.jpg,0
1AB4391,Alex Blanco - Great Plains I (detail),https://pg-plaisio.gr/img/p/6/9/1/1//6911.jpg,0
1AB4392,Alex Blanco - Great Plains II (detail),https://pg-plaisio.gr/img/p/6/9/1/5//6915.jpg,0
1AB4393,Alex Blanco - Coast Line,https://pg-plaisio.gr/img/p/6/9/1/9//6919.jpg,0
1AB4394,Alex Blanco - Lighthouse,https://pg-plaisio.gr/img/p/6/9/2/3//6923.jpg,0
1AB4395,Alex Blanco - Tropical Breeze (detail),https://pg-plaisio.gr/img/p/6/9/2/7//6927.jpg,0
1AC6757,Atelier Deco - Summer Scene I,https://pg-plaisio.gr/img/p/2/9/8/3/7/29837.jpg,0
1AC6758,Atelier Deco - Summer Scene II,https://pg-plaisio.gr/img/p/2/9/8/3/3/29833.jpg,0
1AC6759,Atelier Deco - Summer Scene III,https://pg-plaisio.gr/img/p/2/9/8/2/9/29829.jpg,0
1AC6760,Atelier Deco - Summer Scene IV,https://pg-plaisio.gr/img/p/2/9/8/2/5/29825.jpg,0
1AC6761,Atelier Deco - Summer Scene V,https://pg-plaisio.gr/img/p/2/9/8/2/1/29821.jpg,0
