name;wholesale;stampless;wholesaleplus;retail
ΚΟΛΛΗΜΑ 2,5mm;18;18;18;36
ΚΟΛΛΗΜΑ 3mm;21;21;21;42
ΚΟΛΛΗΜΑ 4mm;24,5;24,5;24,5;49
ΚΟΛΛΗΜΑ 6mm;28,5;28,5;28,5;57
ΚΟΛΛΗΜΑ 8mm;30;30;30;60
ΚΟΛΛΗΜΑ 10mm;32;32;32;64
ΚΟΛΛΗΜΑ 12mm;36;36;36;72
ΚΟΛΛΗΜΑ 16mm;44;44;44;88
ΚΟΛΛΗΜΑ 19mm;56;56;56;112
ΣΑΓΡΕ 4mm;34;34;34;68
ΣΑΓΡΕ 6mm;38;38;38;76
ΣΑΓΡΕ 8mm;40;40;40;80
ΣΑΓΡΕ 10mm;42;42;42;84
ΣΑΓΡΕ 12mm;46;46;46;92
ΣΑΓΡΕ 16mm;54;54;54;108
ΣΑΓΡΕ 19mm;66;66;66;132
ΚΟΛΛΗΜΑ ΧΑΡΤΟΝΙ;14,3;14,3;14,3;28,6
ΕΛΑΙΟΤΥΠΙΑ;35;35;35;70
