reference;unit;wholesae price;stampless price;wholesale plus price;retail price
415;68;9,6;8,95;14,4;24
435;44;7,35;6,85;11,03;18,375
440;60;9,2;8,5;13,8;23
9003;26;7,85;7,3;11,78;19,625
9006;59;12,9;11,85;19,35;32,25
9012;12;7,5;6,9;11,25;18,75
9013;26;7,85;7,3;11,78;19,625
9014;12;9,15;8,4;13,73;22,875
44;30;7,65;7,1;11,48;19,125
508;0;1,9;1,75;2,9;4,75
0515(03-07);0;2,1;1,9;3,1;5,25
0515(006);0;3,3;3,04;4,3;8,25
0520(01-02);0;2,3;2,12;3,3;5,75
0520(006);0;3,85;3,54;4,85;9,625
525;0;3,8;3,5;4,8;9,5
528;45;9,54;8,77;14,31;23,85
58;32;6,7;6,16;10,05;16,75
1004;36;5,6;5,15;8,6;14
1018;52;6,25;5,8;9,38;15,625
1038;65;7,9;7,35;11,85;19,75
105;72;12,6;11,55;18,9;31,5
106(10);8;3,6;3,3;6,6;9
106(315-607-610-627-628);31;8,8;8,1;13,2;22
1156;12;3,9;3,65;6,9;9,75
126;45;9,1;8,35;13,65;22,75
138;20;5,4;4,95;8,4;13,5
1414;8;2,9;2,65;5,9;7,25
146;20;5,15;4,74;8,15;12,875
1515;10;3;2,75;6;7,5
1530(02-03-07-23-28-81-82);10;4,65;4,25;7,65;11,625
1530(3013-3015);10;4,55;4,15;7,55;11,375
1540;10;7,35;6,75;11,03;18,375
1616;10;3,1;2,9;6,1;7,75
1617;10;3,5;3,25;6,5;8,75
1717(171-181);10;4,4;3,95;7,4;11
1717(530-536);10;4,4;3,95;7,4;11
173;50;11,1;10,2;16,65;27,75
1787;63;13;11,95;19,5;32,5
1812;12;3,25;3;6,25;8,125
1887;41;8,7;8;13,05;21,75
192;27;4,9;4,4;7,9;12,25
1930;12;6,55;5,95;9,83;16,375
1941;12;6,5;5,9;9,75;16,25
2003;50;9,4;8,65;14,1;23,5
2012;12;4,45;4,1;7,45;11,125
2013;14;3,5;3,25;6,5;8,75
2025;14;7,15;6,55;10,73;17,875
2026;14;5,4;5;8,4;13,5
2027;12;5,25;4,85;8,25;13,125
2030;12;7,9;7,2;11,85;19,75
2032;12;5,55;5,1;8,55;13,875
204;60;12;10,8;18;30
2040(03-07-81-82-90);12;6,9;6,35;10,35;17,25
2040(006);12;9,8;9;14,7;24,5
2041;12;7,2;6,6;10,8;18
2042;12;7,2;6,6;10,8;18
2060;14;11,4;10,5;17,1;28,5
207;50;13,95;12,95;20,93;34,875
2113;13;3,4;3,15;6,4;8,5
2115;13;3,4;3,15;6,4;8,5
2141(085);12;7,2;6,6;10,8;18
2141(740);12;8,7;8;13,05;21,75
2219;15;7,25;6,65;10,88;18,125
2222(9379...);14;5,6;5,2;8,6;14
2222(171-181);14;4,8;4,45;7,8;12
2222(51-56-58-59);14;4,5;4,15;7,5;11,25
2225;13;5,6;5,2;8,6;14
2240;12;8,7;8;13,05;21,75
2319;15;4,5;4,15;7,5;11,25
2322;16;6,9;6,3;10,35;17,25
237;42;7,75;7,2;11,63;19,375
24;12;4,65;4,25;7,65;11,625
2513;16;3,9;3,7;6,9;9,75
2516;16;4,45;4;7,45;11,125
2520;16;5,75;5,3;8,75;14,375
265;25;6,8;6,2;10,2;17
2650;16;10,7;9,85;16,05;26,75
2716;16;4,2;3,85;7,2;10,5
2815;20;4,05;3,7;7,05;10,125
2816;16;3,7;3,4;6,7;9,25
2820;20;4,95;4,55;7,95;12,375
287;48;12,3;11,3;18,45;30,75
2930;20;8,65;7,95;12,98;21,625
295;32;6,65;6,15;9,98;16,625
300;44;15;13,8;22,5;37,5
3013;20;4,3;3,95;7,3;10,75
3020;22;5,65;5,2;8,65;14,125
3026;22;6,65;6,15;9,98;16,625
3035;20;7,35;6,8;11,03;18,375
3128;49;12,35;11,3;18,53;30,875
3131;20;8,5;7,8;12,75;21,25
320;14;4,1;3,75;7,1;10,25
321;28;6,9;6,35;10,35;17,25
3215;22;4,2;3,85;7,2;10,5
3222;24;6,8;6,25;10,2;17
3224;21;8,65;7,95;12,98;21,625
324;20;4,6;4,2;7,6;11,5
3243;22;11,2;10,4;16,8;28
326;28;6;5,5;9;15
330(1117-1119);65;11;10,1;16,5;27,5
330(2874);48;9,52;8,57;14,28;23,8
3339;62;8,3;7,6;12,45;20,75
3350;20;12,5;11,5;18,75;31,25
3524(01-02);24;6,95;6,35;10,43;17,375
3524(03-04);24;5,15;4,65;8,15;12,875
3524(17-33-37-43);24;6,7;6,2;10,05;16,75
3535;20;7,4;6,8;11,1;18,5
3538;16;9,3;8,85;13,95;23,25
3540;24;10,35;9,5;15,53;25,875
3721;26;6,25;5,75;9,38;15,625
3815;28;4,9;4,5;7,9;12,25
3825;28;8,3;7,6;12,45;20,75
3826;26;6,25;5,75;9,38;15,625
3835;12;15,5;14,25;23,25;38,75
3931(Ρ);26;4;3,7;7;10
3931(Β);26;8,35;7,75;12,53;20,875
4015(01-02-03-04);27;5,05;4,65;8,05;12,625
4015(05);30;5,95;5,5;8,98;14,875
4017;28;5,65;5,15;8,65;14,125
4020;28;7,5;6,95;11,25;18,75
403;25;5,9;5,4;8,9;14,75
4030;30;4,8;4,4;7,8;12
404;25;5,9;5,4;8,9;14,75
4045;16;12,7;11,7;19,05;31,75
4049;20;12,7;11,7;19,05;31,75
405;50;15,8;14,5;23,7;39,5
409;32;9;8,3;13,5;22,5
4216;30;5,95;5,45;8,95;14,875
4222;32;7,6;6,95;11,4;19
4230;28;10,4;9,55;15,6;26
4315;30;5,35;4,95;8,35;13,375
4320;29;5,8;5,3;8,8;14,5
4427;30;9,7;8,9;14,55;24,25
451;13;3,7;3,4;6,7;9,25
4535;24;9,95;9,15;14,93;24,875
4715;33;7,92;7,13;11,88;19,8
4815;34;6,1;5,65;9,15;15,25
4845;45;13,6;12,5;20,4;34
4914;35;4,85;4,45;7,85;12,125
5;11;8;7,4;12;20
500(070...);8;3;2,8;6;7,5
500(858);8;3;2,8;6;7,5
500(139...);44;11,1;10;16,65;27,75
5036;36;8,55;7,9;12,83;21,375
5045;36;16;14,75;24;40
505(070...);15;3,8;3,45;6,8;9,5
505(858);15;3,8;3,45;6,8;9,5
51;11;7,1;6,5;10,65;17,75
510;39;9,45;8,7;14,18;23,625
5201;72;13,5;12,4;20,25;33,75
5230;40;11,4;10,5;17,1;28,5
5247;54;7,6;7;11,4;19
525;37;9,85;9,15;14,78;24,625
528;50;13,45;12,5;20,18;33,625
5319;36;8,3;7,65;12,45;20,75
5326;52;8,4;7,7;12,6;21
5417;39;7,2;6,6;10,8;18
5422;38;8,85;8,1;13,28;22,125
5443;54;7;6,4;10,5;17,5
5530;40;13,4;12,35;20,1;33,5
5535;37;12,8;11,75;19,2;32
5555;24;22,05;20,3;33,08;55,125
556;63;8,7;8;13,05;21,75
557;28;4,8;4,4;7,8;12
56;8;3;2,75;6;7,5
566(0770-0773);39;17,7;16,25;26,55;44,25
566(1ΒΑ);74;23,2;21,3;34,8;58
