reference,quantity,image_url
317,0,https://pg-plaisio.gr/img/p/4/7/7/4//4774.jpg
319,194,https://pg-plaisio.gr/img/p/4/7/7/1//4771.jpg
320,200,https://pg-plaisio.gr/img/p/4/7/6/8//4768.jpg
351,0,https://pg-plaisio.gr/img/p/4/7/6/5//4765.jpg
352,0,https://pg-plaisio.gr/img/p/4/7/6/2//4762.jpg
415,100,https://pg-plaisio.gr/img/p/2/6/1/1/2/26112.jpg
435,100,https://pg-plaisio.gr/img/p/2/6/1/0/6/26106.jpg
440,100,https://pg-plaisio.gr/img/p/2/6/1/0/0/26100.jpg
2001,0,https://pg-plaisio.gr/img/p/4/7/5/9//4759.jpg
2003,198,https://pg-plaisio.gr/img/p/4/7/5/6//4756.jpg
2005,198,https://pg-plaisio.gr/img/p/4/7/5/3//4753.jpg
2007,199,https://pg-plaisio.gr/img/p/4/7/5/0//4750.jpg
2010,198,https://pg-plaisio.gr/img/p/4/7/4/7//4747.jpg
2011,200,https://pg-plaisio.gr/img/p/4/7/4/4//4744.jpg
2012,199,https://pg-plaisio.gr/img/p/4/7/4/1//4741.jpg
2021,0,https://pg-plaisio.gr/img/p/4/7/3/8//4738.jpg
2022,198,https://pg-plaisio.gr/img/p/4/7/3/5//4735.jpg
2023,199,https://pg-plaisio.gr/img/p/4/7/3/2//4732.jpg
2216,193,https://pg-plaisio.gr/img/p/4/7/2/9//4729.jpg
2281,0,https://pg-plaisio.gr/img/p/4/7/1/7//4717.jpg
2282,196,https://pg-plaisio.gr/img/p/4/7/1/4//4714.jpg
2421,0,https://pg-plaisio.gr/img/p/4/7/1/1//4711.jpg
2423,199,https://pg-plaisio.gr/img/p/4/7/0/8//4708.jpg
2701,195,https://pg-plaisio.gr/img/p/4/7/0/5//4705.jpg
2702,199,https://pg-plaisio.gr/img/p/4/7/0/2//4702.jpg
2703,199,https://pg-plaisio.gr/img/p/4/6/9/9//4699.jpg
2704,199,https://pg-plaisio.gr/img/p/4/6/9/6//4696.jpg
2708,169,https://pg-plaisio.gr/img/p/4/6/9/3//4693.jpg
2734,194,https://pg-plaisio.gr/img/p/4/6/9/0//4690.jpg
2799,190,https://pg-plaisio.gr/img/p/4/6/8/7//4687.jpg
3071,0,https://pg-plaisio.gr/img/p/4/6/8/4//4684.jpg
3072,0,https://pg-plaisio.gr/img/p/4/6/8/1//4681.jpg
3074,0,https://pg-plaisio.gr/img/p/4/6/7/8//4678.jpg
3412,199,https://pg-plaisio.gr/img/p/4/6/7/5//4675.jpg
3413,0,https://pg-plaisio.gr/img/p/4/6/7/2//4672.jpg
3821,0,https://pg-plaisio.gr/img/p/4/6/6/9//4669.jpg
4721,100,https://pg-plaisio.gr/img/p/2/4/9/5/8/24958.jpg
4722,100,https://pg-plaisio.gr/img/p/2/4/9/5/2/24952.jpg
4723,100,https://pg-plaisio.gr/img/p/2/4/9/4/6/24946.jpg
4805,198,https://pg-plaisio.gr/img/p/4/6/5/1//4651.jpg
4806,200,https://pg-plaisio.gr/img/p/4/6/4/8//4648.jpg
4808,0,https://pg-plaisio.gr/img/p/4/6/4/5//4645.jpg
4809,200,https://pg-plaisio.gr/img/p/4/6/4/2//4642.jpg
4814,200,https://pg-plaisio.gr/img/p/4/6/3/6//4636.jpg
4827,199,https://pg-plaisio.gr/img/p/4/6/3/3//4633.jpg
4899,189,https://pg-plaisio.gr/img/p/4/6/3/9//4639.jpg
5052,0,https://pg-plaisio.gr/img/p/4/6/3/0//4630.jpg
5053,192,https://pg-plaisio.gr/img/p/4/6/2/7//4627.jpg
5057,0,https://pg-plaisio.gr/img/p/4/6/2/4//4624.jpg
5258,0,https://pg-plaisio.gr/img/p/4/6/2/1//4621.jpg
6001,0,https://pg-plaisio.gr/img/p/4/6/1/8//4618.jpg
6002,200,https://pg-plaisio.gr/img/p/4/6/1/5//4615.jpg
6551,193,https://pg-plaisio.gr/img/p/4/6/1/2//4612.jpg
6552,198,https://pg-plaisio.gr/img/p/4/6/0/9//4609.jpg
6757,0,https://pg-plaisio.gr/img/p/4/6/0/6//4606.jpg
6760,184,https://pg-plaisio.gr/img/p/4/6/0/3//4603.jpg
7404,200,https://pg-plaisio.gr/img/p/2/4/5/7/4/24574.jpg
7408,200,https://pg-plaisio.gr/img/p/2/4/5/7/1/24571.jpg
7505,0,https://pg-plaisio.gr/img/p/4/5/9/4//4594.jpg
7506,0,https://pg-plaisio.gr/img/p/4/5/9/1//4591.jpg
7626,100,https://pg-plaisio.gr/img/p/2/4/5/3/4/24534.jpg
7630,200,https://pg-plaisio.gr/img/p/4/5/8/8//4588.jpg
7634,200,https://pg-plaisio.gr/img/p/4/5/8/5//4585.jpg
7635,200,https://pg-plaisio.gr/img/p/4/5/8/2//4582.jpg
7636,100,https://pg-plaisio.gr/img/p/2/4/5/2/7/24527.jpg
7638,200,https://pg-plaisio.gr/img/p/4/5/7/9//4579.jpg
7639,200,https://pg-plaisio.gr/img/p/4/5/7/6//4576.jpg
7643,200,https://pg-plaisio.gr/img/p/4/5/7/3//4573.jpg
7647,200,https://pg-plaisio.gr/img/p/4/5/7/0//4570.jpg
7652,200,https://pg-plaisio.gr/img/p/4/5/6/7//4567.jpg
7699,200,https://pg-plaisio.gr/img/p/4/5/6/4//4564.jpg
7771,199,https://pg-plaisio.gr/img/p/4/5/6/1//4561.jpg
7772,199,https://pg-plaisio.gr/img/p/4/5/5/8//4558.jpg
7773,200,https://pg-plaisio.gr/img/p/4/5/5/5//4555.jpg
7774,200,https://pg-plaisio.gr/img/p/4/5/5/2//4552.jpg
8151,0,https://pg-plaisio.gr/img/p/4/5/4/9//4549.jpg
8152,0,https://pg-plaisio.gr/img/p/4/5/4/6//4546.jpg
8263,200,https://pg-plaisio.gr/img/p/4/5/4/0//4540.jpg
8264,200,https://pg-plaisio.gr/img/p/4/5/3/7//4537.jpg
8301,200,https://pg-plaisio.gr/img/p/4/5/3/4//4534.jpg
8303,200,https://pg-plaisio.gr/img/p/4/5/3/1//4531.jpg
8304,200,https://pg-plaisio.gr/img/p/4/5/2/8//4528.jpg
8305,200,https://pg-plaisio.gr/img/p/4/5/2/5//4525.jpg
8308,200,https://pg-plaisio.gr/img/p/4/5/2/2//4522.jpg
8310,198,https://pg-plaisio.gr/img/p/4/5/1/9//4519.jpg
8311,199,https://pg-plaisio.gr/img/p/4/5/1/6//4516.jpg
9003,100,https://pg-plaisio.gr/img/p/2/4/3/3/7/24337.jpg
9006,100,https://pg-plaisio.gr/img/p/2/4/3/3/1/24331.jpg
9012,100,https://pg-plaisio.gr/img/p/2/4/3/2/5/24325.jpg
9014,100,https://pg-plaisio.gr/img/p/2/4/3/1/9/24319.jpg
9201,0,https://pg-plaisio.gr/img/p/4/5/1/3//4513.jpg
9202,0,https://pg-plaisio.gr/img/p/4/5/1/0//4510.jpg
9203,0,https://pg-plaisio.gr/img/p/4/5/0/7//4507.jpg
9852,200,https://pg-plaisio.gr/img/p/4/5/0/4//4504.jpg
9853,200,https://pg-plaisio.gr/img/p/4/5/0/1//4501.jpg
10353,0,https://pg-plaisio.gr/img/p/4/4/9/8//4498.jpg
11303,0,https://pg-plaisio.gr/img/p/4/4/9/5//4495.jpg
11304,0,https://pg-plaisio.gr/img/p/4/4/9/2//4492.jpg
80101,200,https://pg-plaisio.gr/img/p/4/4/8/9//4489.jpg
80102,0,https://pg-plaisio.gr/img/p/4/4/8/7//4487.jpg
044-011,100,https://pg-plaisio.gr/img/p/2/6/4/2/8/26428.jpg
044-08,99,https://pg-plaisio.gr/img/p/2/6/4/4/0/26440.jpg
044-09,99,https://pg-plaisio.gr/img/p/2/6/4/3/4/26434.jpg
0528-OGS,100,https://pg-plaisio.gr/img/p/2/5/8/8/2/25882.jpg
058-301,100,https://pg-plaisio.gr/img/p/2/6/3/9/8/26398.jpg
058-546,100,https://pg-plaisio.gr/img/p/2/6/3/9/2/26392.jpg
1004-295,199,https://pg-plaisio.gr/img/p/1/8/6/8/3/18683.jpg
1018-369,198,https://pg-plaisio.gr/img/p/1/8/6/8/0/18680.jpg
1038-246,0,https://pg-plaisio.gr/img/p/2/5/6/8/4/25684.jpg
1038-295,100,https://pg-plaisio.gr/img/p/2/5/6/7/8/25678.jpg
1038-317,100,https://pg-plaisio.gr/img/p/2/5/6/7/2/25672.jpg
105-440,100,https://pg-plaisio.gr/img/p/2/6/3/4/3/26343.jpg
105-441,100,https://pg-plaisio.gr/img/p/2/6/3/3/7/26337.jpg
106-10,0,https://pg-plaisio.gr/img/p/2/6/3/7/3/26373.jpg
106-315,96,https://pg-plaisio.gr/img/p/2/6/3/2/5/26325.jpg
106-607,97,https://pg-plaisio.gr/img/p/2/6/3/1/9/26319.jpg
106-610,98,https://pg-plaisio.gr/img/p/2/6/3/1/3/26313.jpg
106-627,100,https://pg-plaisio.gr/img/p/2/6/3/0/7/26307.jpg
106-628,100,https://pg-plaisio.gr/img/p/2/6/3/0/1/26301.jpg
1156-201,100,https://pg-plaisio.gr/img/p/2/5/6/6/6/25666.jpg
1156-202,0,https://pg-plaisio.gr/img/p/2/5/6/6/0/25660.jpg
1156-304,100,https://pg-plaisio.gr/img/p/2/5/6/5/4/25654.jpg
1156-305,100,https://pg-plaisio.gr/img/p/2/5/6/4/8/25648.jpg
126-441,100,https://pg-plaisio.gr/img/p/2/6/3/3/1/26331.jpg
138-01,100,https://pg-plaisio.gr/img/p/2/6/2/9/2/26292.jpg
138-03,99,https://pg-plaisio.gr/img/p/2/6/2/8/6/26286.jpg
1414-55,99,https://pg-plaisio.gr/img/p/2/5/6/4/2/25642.jpg
1414-56,100,https://pg-plaisio.gr/img/p/2/5/6/3/6/25636.jpg
146-13,100,https://pg-plaisio.gr/img/p/2/6/2/8/0/26280.jpg
1515-81,198,https://pg-plaisio.gr/img/p/4/4/8/3//4483.jpg
1515-82,198,https://pg-plaisio.gr/img/p/4/4/8/0//4480.jpg
1530-02,199,https://pg-plaisio.gr/img/p/4/4/7/7//4477.jpg
1530-03,199,https://pg-plaisio.gr/img/p/4/4/7/4//4474.jpg
1530-07,200,https://pg-plaisio.gr/img/p/4/4/7/1//4471.jpg
1530-23,192,https://pg-plaisio.gr/img/p/4/4/6/8//4468.jpg
1530-28,200,https://pg-plaisio.gr/img/p/4/4/6/5//4465.jpg
1530-3013,100,https://pg-plaisio.gr/img/p/2/5/6/3/0/25630.jpg
1530-3015,100,https://pg-plaisio.gr/img/p/2/5/6/2/4/25624.jpg
1530-81,199,https://pg-plaisio.gr/img/p/4/4/6/2//4462.jpg
1530-82,200,https://pg-plaisio.gr/img/p/4/4/5/9//4459.jpg
1540-201,1,https://pg-plaisio.gr/img/p/1/8/6/7/7/18677.jpg
1540-202,0,https://pg-plaisio.gr/img/p/1/8/6/7/4/18674.jpg
1540-204,200,https://pg-plaisio.gr/img/p/1/8/6/7/1/18671.jpg
1540-205,199,https://pg-plaisio.gr/img/p/1/8/6/6/8/18668.jpg
1616-07,199,https://pg-plaisio.gr/img/p/2/0/0/7/4/20074.jpg
1616-23,190,https://pg-plaisio.gr/img/p/4/4/5/6//4456.jpg
1616-81,189,https://pg-plaisio.gr/img/p/4/4/5/3//4453.jpg
1616-82,199,https://pg-plaisio.gr/img/p/4/4/5/0//4450.jpg
1616-87,194,https://pg-plaisio.gr/img/p/4/4/4/7//4447.jpg
1617-31,95,https://pg-plaisio.gr/img/p/2/5/6/1/8/25618.jpg
1617-32,100,https://pg-plaisio.gr/img/p/2/5/6/1/2/25612.jpg
1717-171,99,https://pg-plaisio.gr/img/p/2/5/6/0/6/25606.jpg
1717-181,100,https://pg-plaisio.gr/img/p/2/5/5/9/8/25598.jpg
1717-530,100,https://pg-plaisio.gr/img/p/2/5/5/9/2/25592.jpg
1717-536,100,https://pg-plaisio.gr/img/p/2/5/5/8/6/25586.jpg
173-1,100,https://pg-plaisio.gr/img/p/2/6/2/7/4/26274.jpg
1787-9224,100,https://pg-plaisio.gr/img/p/2/5/5/8/0/25580.jpg
1787-9225,100,https://pg-plaisio.gr/img/p/2/5/5/7/4/25574.jpg
1787-9226,100,https://pg-plaisio.gr/img/p/2/5/5/6/8/25568.jpg
1812-01,0,https://pg-plaisio.gr/img/p/4/4/4/4//4444.jpg
1812-02,199,https://pg-plaisio.gr/img/p/4/4/4/1//4441.jpg
1887-9224,100,https://pg-plaisio.gr/img/p/2/5/5/6/2/25562.jpg
1887-9225,100,https://pg-plaisio.gr/img/p/2/5/5/5/6/25556.jpg
192-051,100,https://pg-plaisio.gr/img/p/2/6/2/6/8/26268.jpg
1930-530,100,https://pg-plaisio.gr/img/p/2/5/5/4/4/25544.jpg
1930-531,100,https://pg-plaisio.gr/img/p/2/5/5/3/8/25538.jpg
1930-536,99,https://pg-plaisio.gr/img/p/2/5/5/3/2/25532.jpg
1941-3013,100,https://pg-plaisio.gr/img/p/2/5/5/2/8/25528.jpg
1941-3015,100,https://pg-plaisio.gr/img/p/2/5/5/1/9/25519.jpg
2003-H,99,https://pg-plaisio.gr/img/p/2/5/5/5/0/25550.jpg
2012-02,100,https://pg-plaisio.gr/img/p/2/5/5/1/3/25513.jpg
2013-1,100,https://pg-plaisio.gr/img/p/2/5/5/0/7/25507.jpg
2013-2,100,https://pg-plaisio.gr/img/p/2/5/5/0/1/25501.jpg
2013-3,100,https://pg-plaisio.gr/img/p/2/5/4/9/5/25495.jpg
2013-7,100,https://pg-plaisio.gr/img/p/2/5/4/8/9/25489.jpg
2013-8,100,https://pg-plaisio.gr/img/p/2/5/4/8/3/25483.jpg
2025-101,100,https://pg-plaisio.gr/img/p/2/5/4/7/7/25477.jpg
2025-102,100,https://pg-plaisio.gr/img/p/2/5/4/7/0/25470.jpg
2025-104,99,https://pg-plaisio.gr/img/p/2/5/4/6/4/25464.jpg
2026-052,200,https://pg-plaisio.gr/img/p/1/8/6/6/5/18665.jpg
2026-053,198,https://pg-plaisio.gr/img/p/1/8/6/6/2/18662.jpg
2027-90,100,https://pg-plaisio.gr/img/p/2/5/4/5/8/25458.jpg
2027-92,99,https://pg-plaisio.gr/img/p/2/5/4/5/2/25452.jpg
2027-93,100,https://pg-plaisio.gr/img/p/2/5/4/4/6/25446.jpg
2027-95,100,https://pg-plaisio.gr/img/p/2/5/4/4/0/25440.jpg
2030-006,100,https://pg-plaisio.gr/img/p/2/5/4/3/4/25434.jpg
2032-03,200,https://pg-plaisio.gr/img/p/4/4/3/8//4438.jpg
2032-07,198,https://pg-plaisio.gr/img/p/4/4/3/5//4435.jpg
2032-80,200,https://pg-plaisio.gr/img/p/4/4/3/2//4432.jpg
2032-81,199,https://pg-plaisio.gr/img/p/4/4/2/9//4429.jpg
2032-82,200,https://pg-plaisio.gr/img/p/4/4/2/6//4426.jpg
2040-006,100,https://pg-plaisio.gr/img/p/2/5/4/2/8/25428.jpg
2040-03,200,https://pg-plaisio.gr/img/p/4/4/2/0//4420.jpg
2040-07,199,https://pg-plaisio.gr/img/p/4/4/1/7//4417.jpg
2040-81,200,https://pg-plaisio.gr/img/p/4/4/1/4//4414.jpg
2040-82,200,https://pg-plaisio.gr/img/p/4/4/1/1//4411.jpg
2040-90,199,https://pg-plaisio.gr/img/p/2/5/4/1/8/25418.jpg
2041-185,200,https://pg-plaisio.gr/img/p/1/8/6/5/9/18659.jpg
2041-536,0,https://pg-plaisio.gr/img/p/1/8/6/5/6/18656.jpg
2042-171,194,https://pg-plaisio.gr/img/p/1/8/6/5/3/18653.jpg
2042-181,177,https://pg-plaisio.gr/img/p/1/8/6/5/0/18650.jpg
204-374,0,https://pg-plaisio.gr/img/p/2/6/2/6/2/26262.jpg
2060-01,100,https://pg-plaisio.gr/img/p/2/5/4/1/5/25415.jpg
2060-31,100,https://pg-plaisio.gr/img/p/2/5/4/0/9/25409.jpg
207-139,0,https://pg-plaisio.gr/img/p/2/6/2/5/6/26256.jpg
207-607,100,https://pg-plaisio.gr/img/p/2/6/2/5/0/26250.jpg
207-610,99,https://pg-plaisio.gr/img/p/2/6/2/4/4/26244.jpg
2113-01,200,https://pg-plaisio.gr/img/p/4/4/0/8//4408.jpg
2113-02,200,https://pg-plaisio.gr/img/p/4/4/0/5//4405.jpg
2113-05,200,https://pg-plaisio.gr/img/p/4/4/0/2//4402.jpg
2113-23,200,https://pg-plaisio.gr/img/p/4/3/9/9//4399.jpg
2115-03,194,https://pg-plaisio.gr/img/p/2/0/0/6/8/20068.jpg
2115-07,172,https://pg-plaisio.gr/img/p/2/0/0/6/2/20062.jpg
2115-23,190,https://pg-plaisio.gr/img/p/4/3/9/6//4396.jpg
2115-28,195,https://pg-plaisio.gr/img/p/4/3/9/3//4393.jpg
2115-81,199,https://pg-plaisio.gr/img/p/1/9/9/6/7/19967.jpg
2115-82,199,https://pg-plaisio.gr/img/p/4/3/8/7//4387.jpg
2115-90,190,https://pg-plaisio.gr/img/p/2/0/0/5/6/20056.jpg
2115-93,197,https://pg-plaisio.gr/img/p/2/0/0/5/0/20050.jpg
2115-94,197,https://pg-plaisio.gr/img/p/2/0/0/4/4/20044.jpg
2115-95,198,https://pg-plaisio.gr/img/p/2/0/0/3/8/20038.jpg
