reference;unit
415;68
435;44
440;60
9003;26
9006;59
9012;12
9013;26
9014;12
044;30
0508;0
0515(03-07);0
0515(006);0
0520(01-02);0
0520(006);0
0525;0
0528;45
058;32
1004;36
1018;52
1038;65
105;72
106(10);8
106(315-607-610-627-628);31
1156;12
126;45
138;20
1414;8
146;20
1515;10
1530(02-03-07-23-28-81-82);10
1530(3013-3015);10
1540;10
1616;10
1617;10
1717(171-181);10
1717(530-536);10
173;50
1787;63
1812;12
1887;41
192;27
1930;12
1941;12
2003;50
2012;12
2013;14
2025;14
2026;14
2027;12
2030;12
2032;12
204;60
2040(03-07-81-82-90);12
2040(006);12
2041;12
2042;12
2060;14
207;50
2113;13
2115;13
2141(085);12
2141(740);12
2219;15
2222(9379...);14
2222(171-181);14
2222(51-56-58-59);14
2225;13
2240;12
2319;15
2322;16
237;42
24;12
2513;16
2516;16
2520;16
265;25
2650;16
2716;16
2815;20
2816;16
2820;20
287;48
2930;20
295;32
300;44
3013;20
3020;22
3026;22
3035;20
3128;49
3131;20
320;14
321;28
3215;22
3222;24
3224;21
324;20
3243;22
326;28
330(1117-1119);65
330(2874);48
3339;62
3350;20
3524(01-02);24
3524(03-04);24
3524(17-33-37-43);24
3535;20
3538;16
3540;24
3721;26
3815;28
3825;28
3826;26
3835;12
3931(Ρ);26
3931(Β);26
4015(01-02-03-04);27
4015(05);30
4017;28
4020;28
403;25
4030;30
404;25
4045;16
4049;20
405;50
409;32
4216;30
4222;32
4230;28
4315;30
4320;29
4427;30
451;13
4535;24
4715;33
4815;34
4845;45
4914;35
5;11
500(070...);8
500(858);8
500(139...);44
5036;36
5045;36
505(070...);15
505(858);15
51;11
510;39
5201;72
5230;40
5247;54
525;37
528;50
5319;36
5326;52
5417;39
5422;38
5443;54
5530;40
5535;37
5555;24
556;63
557;28
56;8
566(0770-0773);39
566(1ΒΑ);74
5740;40
6040;42
605;57
61;31
622;45
6316;45
6320;45
6424;57
6540;48
6833;50
6918;50
70;12
7029;50
7030;50
7050;32
7052;52
715;48
7150;32
7320;42
7518;53
7547;56
7554;54
7828;49
785;8
786;12
8022;49
8060;60
8065;50
8067;50
820;85
8245;60
8296;82
8302;52
8357;81
8385;75
839;28
8396;68
8499;68
8520;60
859;55
8571;64
8644;81
87427;53
877;50
88020;60
89020;64
9034;65
9223;70
93;22
93717;24
93720;25
94021;20
95040;32
96325;45
96242;45
97;16
97120;56
F58;82
317-319-320;20
351-352;24
2000;12
2021-2022-2023;15
2216;12
2200-01-02-03;12
2281-2282;15
2421-2423;16
2700;18
3070;20
3410;24
3821;29
4127;28
4527;32
4721-22-23;20
4805-6-8-9-99;35
4814-4827;35
5052-5053-5057;36
5258;36
6000;44
6550;48
6757-6760;50
7400;56
7500;56
7600;57
7770;58
80100;60
8150;62
8250;60
8300;63
9200;70
9850;75
11300;86
