name;unit
10Χ15 STANDARD;0,8
13Χ18 STANDARD;0,9
15Χ20 STANDARD;1
18Χ24 STANDARD;1,35
20Χ25 STANDARD;1,4
24Χ30 STANDARD;2,1
28Χ35 STANDARD;2,25
30Χ40 STANDARD;2,4
35Χ50 STANDARD;3,7
40Χ50 STANDARD;3,8
40Χ60 STANDARD;4,8
50Χ60 STANDARD;5,2
50Χ70 STANDARD;5,4
56Χ71 STANDARD;6,75
60Χ80 STANDARD;7,3
61Χ86 STANDARD;8,55
60Χ90 STANDARD;8,6
62Χ93 STANDARD;8,7
70Χ100 STANDARD;9
80Χ110 STANDARD;9,4
90Χ120 STANDARD;14,6
100Χ150 STANDARD;15,4
10Χ15 WHITE;0,95
13Χ18 WHITE;1,05
15Χ20 WHITE;1,15
18Χ24 WHITE;1,6
20Χ25 WHITE;1,65
24Χ30 WHITE;2,6
28Χ35 WHITE;2,75
30Χ40 WHITE;2,9
35Χ50 WHITE;4,7
40Χ50 WHITE;4,8
40Χ60 WHITE;5,8
50Χ60 WHITE;6,2
50Χ70 WHITE;6,4
56Χ71 WHITE;8,25
60Χ80 WHITE;8,8
61Χ86 WHITE;10,55
60Χ90 WHITE;10,6
62Χ93 WHITE;10,7
70Χ100 WHITE;11
80Χ110 WHITE;11,4
90Χ120 WHITE;17,6
100Χ150 WHITE;18,4
10Χ15 MUSEUM;1,2
13Χ18 MUSEUM;1,3
15Χ20 MUSEUM;1,4
18Χ24 MUSEUM;1,9
20Χ25 MUSEUM;1,95
24Χ30 MUSEUM;3,2
28Χ35 MUSEUM;3,35
30Χ40 MUSEUM;3,5
35Χ50 MUSEUM;5,9
40Χ50 MUSEUM;7
40Χ60 MUSEUM;8
50Χ60 MUSEUM;9
50Χ70 MUSEUM;9,2
56Χ71 MUSEUM;12,7
60Χ80 MUSEUM;12,95
61Χ86 MUSEUM;13,85
60Χ90 MUSEUM;13,9
62Χ93 MUSEUM;14
70Χ100 MUSEUM;14,3
80Χ110 MUSEUM;19,95
90Χ120 MUSEUM;20,35
