ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
4027,C9,6,Don Li-Leger, Joie De Vie 
4035,C9,1,Patrick St German , Infinite  Dreamscape 
4040,C9,1,Constance Bachmann, Crimson  Harvest 
6617,M9,48,Sara Rosen, Heur I
6618,M9,48,Sara Rosen, Heur II
6619,M10,48,Sara Rosen, Heur III
6620,M10,48,Sara Rosen, Heur IV
6766,M11,49,Rusinol Masramon ,Pink Lilium 
6767,M11,49,Rusinol Masramon ,Yellow Iris 
6768,M12,49,Rusinol Masramon ,Whte Roses 
6769,M12,49,Rusinol Masramon , Pink Rose 
8102,M26,2,Meng, Golden Dream 
8332,A20,5,Don Li-Leger, Poet's Cause 
8650,A20,4,Tandi Venter , Meadowlands I
8651,A20,3,Tandi Venter , Meadowlands II
8719,M16,1,Don Li-Leger,Antiquities 
8720,M16,5,Don Li-Leger, Oriental Journey II 
8753,S14,1,Trish Biddle , Evening Tango
8758,M16,4,Patrick St German , Time Passing 
8759,M16,3,Patrick St German ,In Motion 
8787,P12,4,Bernadette Lopicki , Presence
8819,A20,1,Rita Vindedzis, Five Trees
12014,A20,4,Constance Bachmann, Apples On Silk 
30914,B29,16,Charles Lee  , Gateway To Heaven 
850110,H25,4,Martin Ludwing ,Indian Spirit I
950146,H25,3,Martin Ludwing ,Italienischer Morgen 
960118,H25,3,Martin Ludwing ,Abschied 
960119,H25,1,Martin Ludwing ,Oktoberabend 
960120,H25,3,Martin Ludwing ,Mohnfeld
960121,H25,2,Martin Ludwing ,Sonnenblumen
960126,H25,11,Martin Ludwing , Die Brucke 
 KBA 6846,M16,1,, 
1000-407,M31,5,,
1000-408,M31,11,,
1000-410,M31,21,,
1350-001,A25,7,,
1733-001,B29,10,,
2010-001,P12,13,,
2010-002,P12,14,,
2198-001,B30,33,,
2760-002,A25,8,,
2895-001,A25,8,,
872/10,O17,5,,Il Grifo 
872/17,O18,42,,Il Grifo 
872/18,O18,49,,Il Grifo 
872/19,O19,42,,Il Grifo 
872/20,O19,42,,Il Grifo 
872/23,O20,50,,Il Grifo 
872/32,O20,47,,Il Grifo 
872/33,O21,46,,Il Grifo 
872/34,O21,41,,Il Grifo 
872/35,O22,46,,Il Grifo 
872/36,O22,46,,Il Grifo 
872/37,O23,46,,Il Grifo 
872/38,O23,45,,Il Grifo 
872/39,O24,39,,Il Grifo 
872/40,O24,36,,Il Grifo 
872/5,O17,4,,Il Grifo 
872/6,O17,4,,Il Grifo 
872/9,O17,4,,Il Grifo 
920R,C9,1,,
AA 3041,C1,9,Century ,Tapestry landscape 
AA 3042,W2,26,,Tapestry landscape 
AB 277,N12,22, Jan Eelse Noordhuis,Gazelle I
AB 278,N12,22, Jan Eelse Noordhuis,Gazelle II
AB 281,R21,20,Carlo Marini, Simplicity VII
AB 282,R21,20,Carlo Marini, Simplicity VII
AB 293,N11,17,Jeffy Roseboom, A Good Conversation I
AB 294,N11,18,Jeffy Roseboom, A Good Conversation II
AB 3084,C1,,,
AB 318,N12,21, Jan Eelse Noordhuis,The Dance I
AB 319,N13,21, Jan Eelse Noordhuis,The Dance II
AB 324,N13,22, Jan Eelse Noordhuis,Carry Forward I
AB 325,N13,21, Jan Eelse Noordhuis,Carry Forward II
AB 346,R21,20,Hans Paus , Untained I
AB 347,R21,20,Hans Paus , Untained II 
AB 4822,M16,4,Lizanetz,White Flowers
AB 4827,A25,1,Isabelle Maysonnave,Contemporary Crimson I
AB 4829,A25,1,Isabelle Maysonnave,Contemporary Crimson II
AB 50957,M16,3,Isabelle Maysonnave, Les Coquelicots I
AB 50958,M16,1,Isabelle Maysonnave, Les Coquelicots II 
AB 67013,C9,2,Peter Bell,Bien Venue 
AB 67082,A20,3,Maeve Harris,Azure
AB 67083,A20,7,Maeve Harris,Rosa
AB 67113,C9,3,Peter Bell,Harbor Vista 
AB 67176,C9,4, Celebratory Whim ,Ford Smith
ABE 1001,H22,1,Alessandra Benedetti , Past Benedikt XVI
ABI 1001,M1,1,Angela Bionda ,Sunnyside Up 
ABI 1003,M1,1,Angela Bionda ,Purple Peony 
ABI 1004,M1,1,Angela Bionda ,Think Pink 
ABI 1006,W10,1,Angela Bionda ,Belladonna Lily 
ABI 1008,V1,1,Angela Bionda ,Pleasure 
ABI 1107,O1A,1,Angela Bionda ,Joy
ABI 1205,Q17,1,Angela Bionda , Amaryllis 
ABI 1206,Q17,1,Angela Bionda ,Belladonna Lily 
ABR 5655,B20,0,,
ABT 1001,S1,1,Anne Be Talirz,Asian Expression 
ABT 1002,S1,1,Anne Be Talirz,Asian Tradition 
ABT 1005,N2,4,Anne Be Talirz,Memories I
ABT 1006,N2,3,Anne Be Talirz,Memories II
ABT 1009,W10,2,Anne Be Talirz,Memories I
ABT 1010,W10,4,Anne Be Talirz,Memories II
ABT 1104,H22,1,Anne Be Talirz,Logogramm
ABT 6134,W6,2,Andrea Basseti ,Donna In Bianco 
ABT 6135,W6,2,Andrea Basseti ,Il Vestito Bianco 
ABT 6189,T15,1,Andrea Basseti ,Elengaza In Bianco 
ABT 6333,T15,1,Andrea Basseti ,Danseuse 
ABT 6334,T15,1,Andrea Basseti , Etoile 
ABT 6617,B19,3,Andrea Basseti ,Swan Lake 
ABT 6618,N12,2,Andrea Basseti ,Magie 
ABT 6619,N12,2,Andrea Basseti ,Arabesque 
ABT 6622,B19,4,Andrea Basseti ,Donna In Blu 
ABT 6623,B19,3,Andrea Basseti ,Donna In Rosa 
ABU 1001,S1,1,Alan Buckle  ,Crackled  Flower 
ABU 1005,H6,1,Alan Buckle  ,Tick Tock 
ABU 1006,H6,1,Alan Buckle  ,Pendulum 
ABU 1007,V15,1,,
ABU 1008,V15,1,,
ABU 1009,V15,1,,
ABU 1012,V1,2,,
ABU 1013,V1,1,,
ABU 1014,V1,1,,
ABU 1015,P1,1,Alan Buckle  ,Silver Bubble Stem  
ABU 1016,P1,1,Alan Buckle  ,Silver Bubble Flowers 
ABU 1017,P1,1,Alan Buckle  ,Silver Bubble Head 
ABU 1018,P1,5,Alan Buckle  ,Jazz Daisy Trio 
ABU 1019,P1,5,Alan Buckle  ,Jazz Lowers 
ABU 1025,H1,1,Alan Buckle  ,Teal Abstract 
ABU 1026,H1,1,Alan Buckle  ,Teal Teardrops 
ABU 1031,N24,5,Alan Buckle  ,Lilac Bubble Flower 
ABU 1032,N24,4,Alan Buckle  ,Lilac Bubble Duo 
ABU 1105,I5,1,Alan Buckle  ,Tick Tock 
ABU 1106,I5,1,Alan Buckle  ,Pendulum 
ABU 1120,O1A,1,Alan Buckle  ,Bubble Panel I
ABU 1121,O1A,1,Alan Buckle  ,Bubble Panel II
ABU 1122,O1A,1,Alan Buckle  ,Bubble Panel III
ABU 1126,I5,1,Alan Buckle  ,Teal Teardrops 
ABU 1127,I5,1,Alan Buckle  ,Olive Circles 
ABU 1128,I5,1,Alan Buckle  ,Olive Spot 
ABU 1203,I5,1,Alan Buckle  ,Timeless
ABU 1204,I5,1,Alan Buckle  ,Clock Chime 
ACA 1102,H22,1,Agostino Carracci ,Angeli 
ACA 1202,Q17,1,Agostino Carracci , Angeli
ACO 5821,N16,3,Andrew Cooper, Deluxe I
ACO 5822,N16,3,Andrew Cooper, Deluxe II
ACO 5913,L3,2,,
AD 179,H14,15,Jan Eelse Noordhuis,  Hunting I
AD 180,H14,15,Jan Eelse Noordhuis,  Hunting II
AD 181,H14,17,Jan Eelse Noordhuis,  Hunting III
AD 182,H14,17,Jan Eelse Noordhuis,  Hunting IV 
AF 1020,S1,1,Antonio Ferralli,Off Colour 
AF 1021,S1,15,Antonio Ferralli,Big Brother 
AF 1022,S1,17,Antonio Ferralli,Big Sister 
AF 1505,I5,11,Antonio Ferralli,Tulips In Brown 
AF 1506,I5,8,Antonio Ferralli,White Flowers In Brown
AF 1507,I5,4,Antonio Ferralli,That Moment 
AF 1508,I5,7,Antonio Ferralli,Remember 
AG 1712,W3,3,Adriano Galasso ,Baia Mediterranea 
AG 1713,W3,3,,
AG 1714,B20,5,Adriano Galasso ,Borgo Di Pescatori
AG 1715,B20,4,Adriano Galasso ,Borgo Ligure 
AG 4250,N14,1,Adriano Galasso , Borgo Sul Mare 
AG 4251,N14,1,Adriano Galasso ,Spiaggia Dei Pescatori
AGA 1002,T7,1,Anna Gardner ,Iris 
AGA 1005,W10,5,Anna Gardner ,Rose Hydrangea 
AGA 1006,W10,7,Anna Gardner , Rose Narcissus 
AGA 1008,W10,1,Anna Gardner , Bunch Of Tulips 
AGA 1009,T7,2,Anna Gardner ,My Pink Daisies
AGA 1010,T7,2,Anna Gardner ,My Cyclamen In Bloom 
AGA 1012,W10,6,Anna Gardner ,Lilian's Thougths 
AGA 1013,W10,3,Anna Gardner ,Esther's World
AGA 1014,W10,8,Anna Gardner , Marian's Spirit 
AGA 1019,V1,1,Anna Gardner ,Tenderness 
AGA 1020,V1,3,Anna Gardner ,Delicateness 
AGA 1021,V1,3,Anna Gardner ,Gentleness
AGA 1022,S1,1,Anna Gardner ,Exquisiteness
AGA 1023,S1,1,Anna Gardner ,Refinement 
AGA 1024,S1,1,Anna Gardner ,Graceful Cladioles 
AGA 1025,S1,1,Anna Gardner ,Gracile Nerines 
AGA 1038,H1,1,,
AGA 1039,H1,1,,
AGA 1042,S1,1,Anna Gardner ,Dreamy Poppy
AGA 1043,S1,1,Anna Gardner ,Dreamy Callas 
AGA 1073,T7,1,,
AGA 1074,T7,1,,
AGA 1106,P1,1,Anna Gardner ,Rose Narcissus 
AGA 1111,H1,6,Anna Gardner ,Rosemary's Dream 
AGA 1112,H1,3,Anna Gardner ,Lillian Thoughts 
AGA 1113,H1,5,Anna Gardner ,Esther's World
AGA 1114,H1,0,,
AGA 1122,H22,1,Anna Gardner ,Exquisiteness
AGA 1123,H22,1,Anna Gardner ,Refinement 
AGA 1135,O1A,1,Anna Gardner , Lustrous Anemone 
AGA 1136,O1A,1,Anna Gardner , Lustrous Orchid
AGA 1137,O1A,1,Anna Gardner ,Lustrous Amaryllis 
AGA 1138,I5,1,Anna Gardner , Cup Of White Tulips 
AGA 1139,I5,1,Anna Gardner ,Cup Of Gracile Anemones 
AGA 1211,I5,12,Anna Gardner ,Rosemary's Dream 
AGA 1212,I5,12,Anna Gardner ,Lilian's Thougths 
ANB 1002,W10,1,Annabella Baretti,Giglio Rosso 
ANF 1042,W10,1,Anna Flores ,Tempting Flowers 
ANF 1043,W10,1,Anna Flores ,Power Theme I
ANF 1044,W10,1,Anna Flores ,Power Theme II
ANF 1046,N10,1,Anna Flores ,Grey Zone 
ANF 1047,H1,1,Anna Flores ,Coffee Heart 
